,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,shares,ticker
0,112117471,125.725,130.28,125.07,130.9,124.17,2023-01-03 05:00:00,1021065,128,aapl
1,89100633,126.6464,126.89,126.36,128.6557,125.08,2023-01-04 05:00:00,770042,128,aapl
2,80716808,126.0883,127.13,125.02,127.77,124.76,2023-01-05 05:00:00,665458,128,aapl
3,87754715,128.1982,126.01,129.62,130.29,124.89,2023-01-06 05:00:00,711520,128,aapl
4,70790813,131.6292,130.465,130.15,133.41,129.89,2023-01-09 05:00:00,645365,128,aapl
5,63896155,129.822,130.26,130.73,131.2636,128.12,2023-01-10 05:00:00,554940,128,aapl
6,69458949,132.3081,131.25,133.49,133.51,130.46,2023-01-11 05:00:00,561278,128,aapl
7,71379648,133.171,133.88,133.41,134.26,131.44,2023-01-12 05:00:00,635331,128,aapl
8,57809719,133.6773,132.03,134.76,134.92,131.66,2023-01-13 05:00:00,537385,128,aapl
9,63612627,135.7587,134.83,135.94,137.29,134.13,2023-01-17 05:00:00,595831,128,aapl
10,69672800,136.3316,136.815,135.21,138.61,135.03,2023-01-18 05:00:00,578304,128,aapl
11,58280413,134.9653,134.08,135.27,136.25,133.77,2023-01-19 05:00:00,491674,128,aapl
12,80200655,136.3762,135.28,137.87,138.02,134.22,2023-01-20 05:00:00,552230,128,aapl
13,81760313,141.2116,138.12,141.11,143.315,137.9,2023-01-23 05:00:00,719288,128,aapl
14,66435142,142.0507,140.305,142.53,143.16,140.3,2023-01-24 05:00:00,498679,128,aapl
15,65799349,140.7526,140.89,141.86,142.43,138.81,2023-01-25 05:00:00,536505,128,aapl
16,54105068,143.3429,143.17,143.96,144.25,141.9,2023-01-26 05:00:00,472135,128,aapl
17,70547743,145.8365,143.155,145.93,147.23,143.08,2023-01-27 05:00:00,560022,128,aapl
18,64015274,143.6524,144.955,143.0,145.55,142.85,2023-01-30 05:00:00,551111,128,aapl
19,65874459,143.6473,142.7,144.29,144.34,142.28,2023-01-31 05:00:00,468170,128,aapl
20,77663426,143.8723,143.97,145.43,146.61,141.32,2023-02-01 05:00:00,693374,128,aapl
21,118338980,149.3764,148.9,150.82,151.18,148.17,2023-02-02 05:00:00,996203,128,aapl
22,154338835,154.2437,148.03,154.5,157.38,147.83,2023-02-03 05:00:00,1141350,128,aapl
23,69771906,152.0939,152.575,151.73,153.1,150.78,2023-02-06 05:00:00,583517,128,aapl
24,83322551,153.4202,150.64,154.65,155.23,150.64,2023-02-07 05:00:00,661767,128,aapl
25,63620079,152.3636,153.88,151.92,154.58,151.168,2023-02-08 05:00:00,524140,128,aapl
26,55994243,152.2769,153.775,150.87,154.33,150.42,2023-02-09 05:00:00,471973,128,aapl
