,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,shares,ticker
0,45269,27.999,28.06,27.9396,28.12,27.8529,2023-01-03 05:00:00,318,593,dfsi
1,46752,28.3877,28.37,28.3884,28.45,28.26,2023-01-04 05:00:00,306,593,dfsi
2,56250,28.157,28.25,28.1,28.25,28.04,2023-01-05 05:00:00,177,593,dfsi
3,17249,28.6801,28.14,28.7764,28.8113,28.14,2023-01-06 05:00:00,82,593,dfsi
4,45205,29.0706,28.99,28.91,29.194,28.91,2023-01-09 05:00:00,278,593,dfsi
5,31823,28.9216,28.92,29.0,29.0,28.81,2023-01-10 05:00:00,176,593,dfsi
6,36864,29.0939,29.1,29.15,29.1599,29.0,2023-01-11 05:00:00,179,593,dfsi
7,54141,29.5488,29.285,29.59,29.61,29.13,2023-01-12 05:00:00,138,593,dfsi
8,8704,29.6345,29.28,29.71,29.71,29.28,2023-01-13 05:00:00,49,593,dfsi
9,36962,29.8211,29.76,29.81,29.8597,29.7503,2023-01-17 05:00:00,121,593,dfsi
10,48038,29.8623,30.17,29.7798,30.2,29.7798,2023-01-18 05:00:00,227,593,dfsi
11,11650,29.6691,29.65,29.64,29.7399,29.55,2023-01-19 05:00:00,65,593,dfsi
12,24237,29.8859,29.77,29.99,29.99,29.75,2023-01-20 05:00:00,57,593,dfsi
13,34138,30.0636,29.77,30.09,30.11,29.77,2023-01-23 05:00:00,176,593,dfsi
14,29969,30.1173,30.01,30.11,30.15,29.89,2023-01-24 05:00:00,109,593,dfsi
15,40409,30.2153,30.07,30.26,30.28,29.95,2023-01-25 05:00:00,109,593,dfsi
16,16057,30.255,30.38,30.31,30.38,30.13,2023-01-26 05:00:00,101,593,dfsi
17,69674,30.3136,30.24,30.27,30.38,30.1799,2023-01-27 05:00:00,166,593,dfsi
18,40176,30.1725,30.24,30.11,30.31,30.1055,2023-01-30 05:00:00,248,593,dfsi
19,66112,30.218,30.01,30.28,30.31,30.01,2023-01-31 05:00:00,329,593,dfsi
20,19362,30.2935,30.23,30.57,30.6875,30.17,2023-02-01 05:00:00,149,593,dfsi
21,29810,30.6445,30.61,30.66,30.8099,30.53,2023-02-02 05:00:00,153,593,dfsi
22,15603,30.3496,30.35,30.33,30.51,30.27,2023-02-03 05:00:00,118,593,dfsi
23,103348,29.9581,30.06,29.99,30.06,29.89,2023-02-06 05:00:00,213,593,dfsi
24,25923,29.944,29.82,30.15,30.2,29.73,2023-02-07 05:00:00,128,593,dfsi
25,42741,30.0382,30.17,29.99,30.17,29.96,2023-02-08 05:00:00,180,593,dfsi
26,47595,30.1343,30.55,30.02,30.55,30.0,2023-02-09 05:00:00,307,593,dfsi
27,13411,29.7925,29.9,29.83,29.9,29.7079,2023-02-10 05:00:00,121,593,dfsi
28,28181,30.0679,29.8816,30.09,30.125,29.8816,2023-02-13 05:00:00,83,593,dfsi
29,62571,30.1455,30.11,30.15,30.27,29.94,2023-02-14 05:00:00,118,593,dfsi
30,17967,29.9438,29.74,30.02,30.04,29.74,2023-02-15 05:00:00,126,593,dfsi
31,21217,29.9804,29.85,29.94,30.11,29.815,2023-02-16 05:00:00,132,593,dfsi
32,22270,29.9498,29.81,30.02,30.04,29.77,2023-02-17 05:00:00,118,593,dfsi
33,32747,29.7009,29.85,29.64,29.85,29.62,2023-02-21 05:00:00,232,593,dfsi
34,36461,29.4718,29.6,29.45,29.6,29.39,2023-02-22 05:00:00,151,593,dfsi
35,14575,29.4949,29.56,29.59,29.64,29.37,2023-02-23 05:00:00,121,593,dfsi
36,56332,29.145,29.16,29.16,29.19,29.07,2023-02-24 05:00:00,124,593,dfsi
37,8131,29.5116,29.47,29.495,29.6,29.47,2023-02-27 05:00:00,62,593,dfsi
38,14641,29.3806,29.47,29.34,29.49,29.34,2023-02-28 05:00:00,137,593,dfsi
39,36076,29.4752,29.589,29.4815,29.589,29.4,2023-03-01 05:00:00,133,593,dfsi
40,648776,29.4462,29.3,29.51,29.53,29.22,2023-03-02 05:00:00,82,593,dfsi
41,28724,29.8735,29.67,29.9,29.98,29.65,2023-03-03 05:00:00,149,593,dfsi
42,48331,29.8457,29.85,29.85,29.96,29.8,2023-03-06 05:00:00,111,593,dfsi
43,40565,29.4054,29.48,29.34,29.64,29.2802,2023-03-07 05:00:00,169,593,dfsi
44,42909,29.4171,29.46,29.43,29.53,29.3699,2023-03-08 05:00:00,167,593,dfsi
45,49195,29.4157,29.4899,29.18,29.58,29.18,2023-03-09 05:00:00,139,593,dfsi
46,141715,28.9787,29.2,28.87,29.26,28.86,2023-03-10 05:00:00,169,593,dfsi
47,36858,28.6985,28.55,28.68,28.88,28.5187,2023-03-13 04:00:00,146,593,dfsi
48,19792,28.9493,28.96,29.0121,29.06,28.82,2023-03-14 04:00:00,125,593,dfsi
49,177649,28.1013,28.04,28.17,28.19,27.87,2023-03-15 04:00:00,340,593,dfsi
50,144756,28.5234,28.06,28.61,28.63,28.06,2023-03-16 04:00:00,700,593,dfsi
51,51447,28.3066,28.29,28.27,28.37,28.2,2023-03-17 04:00:00,200,593,dfsi
52,55644,28.7376,28.57,28.7,28.78,28.57,2023-03-20 04:00:00,204,593,dfsi
53,79650,29.0038,29.2,29.04,29.2,28.93,2023-03-21 04:00:00,142,593,dfsi
54,68915,29.1634,29.0187,28.9,29.46,28.9,2023-03-22 04:00:00,106,593,dfsi
55,93588,28.9818,29.19,28.95,29.365,28.85,2023-03-23 04:00:00,227,593,dfsi
56,111946,28.7859,28.71,28.87,28.898,28.61,2023-03-24 04:00:00,334,593,dfsi
57,35085,29.1094,29.21,29.18,29.21,29.01,2023-03-27 04:00:00,108,593,dfsi
58,62741,29.1149,29.26,29.11,29.26,29.06,2023-03-28 04:00:00,156,593,dfsi
59,75091,29.4523,29.44,29.51,29.519,29.38,2023-03-29 04:00:00,309,593,dfsi
60,33791,29.8603,29.99,29.89,29.99,29.82,2023-03-30 04:00:00,131,593,dfsi
61,37466,30.0166,29.97,30.05,30.05,29.96,2023-03-31 04:00:00,104,593,dfsi
62,18496,30.1229,30.08,30.23,30.23,30.03,2023-04-03 04:00:00,72,593,dfsi
63,19083,30.2096,30.21,30.22,30.34,30.16,2023-04-04 04:00:00,111,593,dfsi
64,25250,29.9248,29.98,29.96,30.0458,29.846,2023-04-05 04:00:00,131,593,dfsi
65,19159,30.0189,29.91,29.97,30.09,29.82,2023-04-06 04:00:00,52,593,dfsi
66,10884,29.9228,29.74,29.98,30.0,29.74,2023-04-10 04:00:00,78,593,dfsi
67,14527,30.1473,30.13,30.12,30.1944,30.11,2023-04-11 04:00:00,58,593,dfsi
68,24030,30.372,30.311,30.33,30.43,30.31,2023-04-12 04:00:00,93,593,dfsi
69,8242,30.7428,30.61,30.77,30.8,30.61,2023-04-13 04:00:00,55,593,dfsi
70,34726,30.6185,30.81,30.63,30.82,30.53,2023-04-14 04:00:00,145,593,dfsi
71,21131,30.5396,30.69,30.58,30.69,30.46,2023-04-17 04:00:00,99,593,dfsi
72,18408,30.7563,30.9,30.765,30.9,30.7,2023-04-18 04:00:00,67,593,dfsi
73,21420,30.6578,30.7,30.61,30.7,30.6,2023-04-19 04:00:00,45,593,dfsi
74,16766,30.6421,30.59,30.6,30.72,30.565,2023-04-20 04:00:00,86,593,dfsi
75,29761,30.7335,30.64,30.79,30.8,30.58,2023-04-21 04:00:00,110,593,dfsi
76,66987,30.839,30.81,30.87,30.8896,30.79,2023-04-24 04:00:00,85,593,dfsi
77,55641,30.4739,30.66,30.43,30.66,30.42,2023-04-25 04:00:00,92,593,dfsi
78,25805,30.5021,30.5729,30.43,30.59,30.3571,2023-04-26 04:00:00,83,593,dfsi
79,57378,30.7307,30.46,30.84,30.8495,30.46,2023-04-27 04:00:00,140,593,dfsi
80,13540,30.7917,30.5,30.82,30.87,30.5,2023-04-28 04:00:00,79,593,dfsi
81,16176,30.843,30.91,30.81,30.96,30.7901,2023-05-01 04:00:00,65,593,dfsi
82,46079,30.4985,30.62,30.53,30.62,30.35,2023-05-02 04:00:00,111,593,dfsi
83,37559,30.6607,30.6532,30.55,30.83,30.55,2023-05-03 04:00:00,71,593,dfsi
84,62053,30.5259,30.5036,30.52,30.57,30.43,2023-05-04 04:00:00,143,593,dfsi
85,32334,30.9041,30.78,30.93,31.0081,30.7717,2023-05-05 04:00:00,73,593,dfsi
86,26985,31.0044,31.14,30.97,31.14,30.97,2023-05-08 04:00:00,109,593,dfsi
87,21840,30.8878,30.83,30.882,30.95,30.71,2023-05-09 04:00:00,98,593,dfsi
88,38125,30.7993,30.85,30.81,30.8922,30.64,2023-05-10 04:00:00,116,593,dfsi
89,23316,30.6981,30.63,30.75,30.75,30.55,2023-05-11 04:00:00,84,593,dfsi
90,29521,30.6447,30.85,30.66,30.85,30.56,2023-05-12 04:00:00,79,593,dfsi
91,24132,30.8605,30.79,30.89,30.9,30.71,2023-05-15 04:00:00,100,593,dfsi
92,65734,30.6343,30.79,30.59,30.79,30.59,2023-05-16 04:00:00,121,593,dfsi
93,12970,30.6272,30.52,30.69,30.72,30.49,2023-05-17 04:00:00,70,593,dfsi
94,55433,30.5273,30.596,30.61,30.64,30.49,2023-05-18 04:00:00,67,593,dfsi
95,45662,30.7669,30.69,30.81,30.81,30.69,2023-05-19 04:00:00,96,593,dfsi
96,57974,30.8166,30.82,30.81,30.885,30.74,2023-05-22 04:00:00,113,593,dfsi
97,28277,30.4205,30.55,30.32,30.5572,30.32,2023-05-23 04:00:00,116,593,dfsi
98,60583,29.8987,30.03,29.84,30.03,29.835,2023-05-24 04:00:00,240,593,dfsi
99,12009,29.7956,29.89,29.8,29.89,29.72,2023-05-25 04:00:00,93,593,dfsi
100,14636,30.0214,29.955,30.03,30.0756,29.9001,2023-05-26 04:00:00,68,593,dfsi
101,22236,29.869,30.23,29.77,30.23,29.744,2023-05-30 04:00:00,110,593,dfsi
102,21098,29.4447,29.53,29.55,29.55,29.33,2023-05-31 04:00:00,128,593,dfsi
103,48948,29.9013,29.73,29.91,29.98,29.67,2023-06-01 04:00:00,179,593,dfsi
104,60790,30.3493,30.34,30.37,30.38,30.275,2023-06-02 04:00:00,195,593,dfsi
105,41378,30.1954,30.25,30.19,30.315,30.17,2023-06-05 04:00:00,77,593,dfsi
106,89287,30.4089,30.25,30.4239,30.69,30.235,2023-06-06 04:00:00,91,593,dfsi
107,64148,30.2073,30.37,30.16,30.4399,30.13,2023-06-07 04:00:00,217,593,dfsi
108,41533,30.3723,30.29,30.4,30.4262,30.2801,2023-06-08 04:00:00,118,593,dfsi
109,12334,30.3968,30.3901,30.38,30.4185,30.35,2023-06-09 04:00:00,56,593,dfsi
110,25361,30.5271,30.49,30.54,30.5849,30.47,2023-06-12 04:00:00,80,593,dfsi
111,159436,30.8371,30.92,30.82,30.92,30.79,2023-06-13 04:00:00,101,593,dfsi
112,22447,30.9782,31.04,30.9,31.06,30.8156,2023-06-14 04:00:00,83,593,dfsi
113,30852,31.0466,30.85,31.13,31.19,30.85,2023-06-15 04:00:00,75,593,dfsi
114,21280,31.2048,31.37,31.07,31.37,31.07,2023-06-16 04:00:00,103,593,dfsi
115,36567,30.7324,30.78,30.69,30.78,30.63,2023-06-20 04:00:00,86,593,dfsi
116,68288,30.4014,30.35,30.39,30.5171,30.27,2023-06-21 04:00:00,405,593,dfsi
117,19681,30.1951,30.18,30.21,30.26,30.16,2023-06-22 04:00:00,63,593,dfsi
118,38976,29.7718,29.745,29.78,29.86,29.68,2023-06-23 04:00:00,223,593,dfsi
119,26945,29.8412,29.8,29.81,29.885,29.8,2023-06-26 04:00:00,105,593,dfsi
120,56272,30.0319,29.815,30.09,30.1,29.815,2023-06-27 04:00:00,181,593,dfsi
121,44739,30.1256,30.11,30.09,30.18,30.06,2023-06-28 04:00:00,145,593,dfsi
122,31200,30.055,30.0708,30.08,30.09,30.0,2023-06-29 04:00:00,79,593,dfsi
123,26849,30.4678,30.32,30.45,30.58,30.32,2023-06-30 04:00:00,145,593,dfsi
124,5646,30.426,30.45,30.4609,30.4715,30.3921,2023-07-03 04:00:00,27,593,dfsi
125,70525,30.1095,30.18,30.11,30.19,30.0501,2023-07-05 04:00:00,250,593,dfsi
126,46825,29.6342,29.72,29.59,29.72,29.47,2023-07-06 04:00:00,141,593,dfsi
127,13447,29.9229,29.77,29.88,30.0499,29.7529,2023-07-07 04:00:00,66,593,dfsi
128,30955,29.9934,29.94,30.0,30.04,29.9,2023-07-10 04:00:00,95,593,dfsi
129,24432,30.1978,30.2171,30.28,30.3,30.085,2023-07-11 04:00:00,140,593,dfsi
