,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,ticker
0,12,1.0691,1.06849,1.0793,1.0793,1.06788,2023-01-01,12,eurusd
1,74147,1.0676,1.07027,1.06764,1.071,1.0645,2023-01-02,74147,eurusd
2,236637,1.0585,1.06765,1.0545,1.0681,1.0518,2023-01-03,236637,eurusd
3,229494,1.0598,1.05453,1.0605,1.06353,1.0544,2023-01-04,229494,eurusd
4,210543,1.0574,1.06056,1.05211,1.0632,1.05138,2023-01-05,210543,eurusd
5,207800,1.0551,1.05209,1.0661,1.0662,1.04829,2023-01-06,207800,eurusd
6,2,1.0653,1.0644,1.0662,1.0662,1.0644,2023-01-07,2,eurusd
7,4731,1.065,1.06408,1.06626,1.06627,1.06307,2023-01-08,4731,eurusd
8,205277,1.0706,1.06624,1.07325,1.0761,1.065,2023-01-09,205277,eurusd
9,202545,1.0734,1.07325,1.07383,1.07593,1.071,2023-01-10,202545,eurusd
10,180813,1.0748,1.07382,1.07655,1.07763,1.0724,2023-01-11,180813,eurusd
11,225604,1.0795,1.07656,1.08598,1.0867,1.07296,2023-01-12,225604,eurusd
12,204001,1.0831,1.08597,1.0845,1.08682,1.07799,2023-01-13,204001,eurusd
13,3,1.0845,1.0847,1.0842,1.0847,1.0842,2023-01-14,3,eurusd
14,4685,1.0827,1.08278,1.08223,1.08349,1.08161,2023-01-15,4685,eurusd
15,143926,1.0831,1.08225,1.08294,1.08741,1.08,2023-01-16,143926,eurusd
16,208089,1.082,1.083,1.07893,1.08693,1.0773,2023-01-17,208089,eurusd
17,241865,1.0818,1.07894,1.07972,1.08874,1.0766,2023-01-18,241865,eurusd
18,205133,1.0811,1.07979,1.0832,1.084,1.0781,2023-01-19,205133,eurusd
19,175785,1.0835,1.08335,1.0875,1.0876,1.0801,2023-01-20,175785,eurusd
20,1,1.0876,1.0876,1.0876,1.0876,1.0876,2023-01-21,1,eurusd
21,4464,1.0865,1.0843,1.08639,1.08728,1.0843,2023-01-22,4464,eurusd
22,177970,1.0879,1.0864,1.08713,1.09266,1.0845,2023-01-23,177970,eurusd
23,170583,1.0872,1.08711,1.08897,1.08982,1.0835,2023-01-24,170583,eurusd
24,173276,1.0891,1.08896,1.09205,1.09235,1.0856,2023-01-25,173276,eurusd
25,174534,1.0895,1.09206,1.0892,1.09296,1.085,2023-01-26,174534,eurusd
26,157922,1.0871,1.08931,1.087,1.09001,1.0837,2023-01-27,157922,eurusd
27,2,1.0871,1.0872,1.0871,1.0872,1.0871,2023-01-28,2,eurusd
28,2268,1.0869,1.0862,1.08715,1.08725,1.08616,2023-01-29,2268,eurusd
29,174335,1.0876,1.08716,1.0849,1.0914,1.0838,2023-01-30,174335,eurusd
30,177669,1.0846,1.08501,1.08603,1.0875,1.0801,2023-01-31,177669,eurusd
31,189479,1.0912,1.08602,1.10127,1.10327,1.0851,2023-02-01,189479,eurusd
32,212083,1.0964,1.10128,1.09044,1.10272,1.08854,2023-02-02,212083,eurusd
33,198222,1.0868,1.09043,1.0825,1.09401,1.07892,2023-02-03,198222,eurusd
34,3,1.0825,1.0827,1.0822,1.0827,1.0822,2023-02-04,3,eurusd
35,5370,1.0791,1.07844,1.07891,1.07979,1.07801,2023-02-05,5370,eurusd
36,180922,1.076,1.0789,1.0729,1.0799,1.0708,2023-02-06,180922,eurusd
37,211098,1.0715,1.07291,1.07301,1.07666,1.0668,2023-02-07,211098,eurusd
38,178013,1.0732,1.07306,1.07154,1.07608,1.07051,2023-02-08,178013,eurusd
39,178528,1.0751,1.07153,1.07389,1.0791,1.0708,2023-02-09,178528,eurusd
40,180928,1.0705,1.07395,1.0699,1.07531,1.0665,2023-02-10,180928,eurusd
41,2,1.0699,1.0701,1.0696,1.0701,1.0696,2023-02-11,2,eurusd
42,130536,1.0696,1.06657,1.07307,1.0733,1.0661,2023-02-13,130536,eurusd
43,208015,1.0741,1.07306,1.0735,1.0805,1.07062,2023-02-14,208015,eurusd
44,191260,1.07,1.07351,1.06912,1.07444,1.066,2023-02-15,191260,eurusd
45,189950,1.069,1.0691,1.06654,1.07224,1.0653,2023-02-16,189950,eurusd
46,175703,1.0654,1.06652,1.0718,1.0722,1.0612,2023-02-17,175703,eurusd
47,2,1.0718,1.072,1.0715,1.072,1.0715,2023-02-18,2,eurusd
48,3685,1.0687,1.06798,1.06838,1.06932,1.06798,2023-02-19,3685,eurusd
49,118268,1.0686,1.06839,1.06819,1.07047,1.0669,2023-02-20,118268,eurusd
50,182937,1.0662,1.06822,1.06515,1.0698,1.0636,2023-02-21,182937,eurusd
51,185644,1.0638,1.06514,1.06051,1.06641,1.0598,2023-02-22,185644,eurusd
52,173113,1.0603,1.06054,1.05972,1.0628,1.0576,2023-02-23,173113,eurusd
53,191818,1.0571,1.05973,1.0583,1.06144,1.0534,2023-02-24,191818,eurusd
54,4,1.0578,1.0584,1.0571,1.0584,1.0571,2023-02-25,4,eurusd
55,2566,1.0551,1.05397,1.05531,1.05549,1.05397,2023-02-26,2566,eurusd
56,170282,1.0573,1.05531,1.06093,1.06197,1.0531,2023-02-27,170282,eurusd
57,177843,1.0605,1.06093,1.05766,1.0645,1.0569,2023-02-28,177843,eurusd
58,199690,1.0644,1.05765,1.06688,1.0692,1.0564,2023-03-01,199690,eurusd
59,188820,1.0618,1.06684,1.05985,1.0673,1.0575,2023-03-02,188820,eurusd
60,167663,1.0614,1.0598,1.0648,1.0649,1.05879,2023-03-03,167663,eurusd
61,1,1.0649,1.0649,1.0649,1.0649,1.0649,2023-03-04,1,eurusd
62,3629,1.0625,1.06146,1.06254,1.06288,1.06123,2023-03-05,3629,eurusd
63,166747,1.0656,1.06255,1.0686,1.06946,1.0621,2023-03-06,166747,eurusd
64,191485,1.0631,1.06854,1.05481,1.0695,1.0544,2023-03-07,191485,eurusd
65,177493,1.0544,1.05482,1.05486,1.05742,1.0523,2023-03-08,177493,eurusd
66,169900,1.0567,1.0549,1.05859,1.05911,1.0537,2023-03-09,169900,eurusd
67,236647,1.0624,1.05854,1.0655,1.07004,1.0573,2023-03-10,236647,eurusd
68,3,1.0647,1.064,1.0645,1.0655,1.064,2023-03-11,3,eurusd
69,11617,1.069,1.06394,1.0681,1.07033,1.06376,2023-03-12,11617,eurusd
70,292601,1.0707,1.06814,1.07226,1.0749,1.065,2023-03-13,292601,eurusd
71,248366,1.0717,1.07224,1.07266,1.07497,1.0677,2023-03-14,248366,eurusd
72,264552,1.0621,1.07268,1.05814,1.076,1.0516,2023-03-15,264552,eurusd
73,256552,1.0604,1.05814,1.06132,1.06355,1.055,2023-03-16,256552,eurusd
74,214745,1.0645,1.06134,1.0778,1.0781,1.061,2023-03-17,214745,eurusd
75,3,1.0777,1.0779,1.0774,1.0779,1.0774,2023-03-18,3,eurusd
76,7186,1.0676,1.06841,1.06804,1.07061,1.06657,2023-03-19,7186,eurusd
77,230754,1.0693,1.06804,1.07183,1.0731,1.06312,2023-03-20,230754,eurusd
78,176922,1.075,1.07184,1.07723,1.07886,1.0702,2023-03-21,176922,eurusd
79,192370,1.0805,1.07723,1.08687,1.09124,1.0757,2023-03-22,192370,eurusd
80,215411,1.0881,1.0868,1.08343,1.09297,1.082,2023-03-23,215411,eurusd
81,200301,1.0776,1.08342,1.0779,1.08371,1.0713,2023-03-24,200301,eurusd
82,1,1.0781,1.0781,1.0781,1.0781,1.0781,2023-03-25,1,eurusd
83,7035,1.0775,1.07609,1.07775,1.078,1.07585,2023-03-26,7035,eurusd
84,163398,1.0775,1.07772,1.08064,1.0808,1.0743,2023-03-27,163398,eurusd
85,157595,1.0826,1.08063,1.08385,1.0849,1.0803,2023-03-28,157595,eurusd
86,155308,1.0841,1.08389,1.08424,1.0872,1.08176,2023-03-29,155308,eurusd
87,153446,1.0877,1.08423,1.09044,1.09266,1.0823,2023-03-30,153446,eurusd
88,158324,1.0882,1.09045,1.0869,1.0926,1.0835,2023-03-31,158324,eurusd
89,7632,1.082,1.08444,1.08022,1.08479,1.08,2023-04-02,7632,eurusd
90,160505,1.0854,1.08025,1.09067,1.09169,1.0787,2023-04-03,160505,eurusd
91,160344,1.0923,1.09065,1.09574,1.0974,1.0882,2023-04-04,160344,eurusd
92,152954,1.0938,1.09572,1.09029,1.09698,1.089,2023-04-05,152954,eurusd
93,130313,1.0907,1.09028,1.09194,1.0938,1.0883,2023-04-06,130313,eurusd
94,62206,1.091,1.09195,1.0994,1.0996,1.08761,2023-04-07,62206,eurusd
95,1,1.0993,1.0993,1.0993,1.0993,1.0993,2023-04-08,1,eurusd
96,3859,1.0909,1.08911,1.09127,1.0915,1.08911,2023-04-09,3859,eurusd
97,107639,1.0877,1.09127,1.0869,1.0921,1.083,2023-04-10,107639,eurusd
98,137604,1.0902,1.08689,1.0916,1.0929,1.0865,2023-04-11,137604,eurusd
