,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,shares,ticker
0,5135191,17.6612,18.64,17.2,19.26,17.091,2023-01-03 05:00:00,55494,894,gme
1,3939325,17.3826,17.25,17.32,17.93,16.9,2023-01-04 05:00:00,43053,894,gme
2,6066158,16.3163,17.06,16.22,17.26,15.89,2023-01-05 05:00:00,78481,894,gme
3,4823357,16.0221,16.0,16.46,16.57,15.41,2023-01-06 05:00:00,54898,894,gme
4,3522596,16.6868,16.65,16.38,17.13,16.36,2023-01-09 05:00:00,43665,894,gme
5,4402799,17.1726,16.3,17.77,18.09,16.25,2023-01-10 05:00:00,46161,894,gme
6,8405821,18.9805,18.19,19.04,20.05,17.86,2023-01-11 05:00:00,72581,894,gme
7,5877276,19.6153,19.04,20.63,20.63,18.34,2023-01-12 05:00:00,53827,894,gme
8,5494405,20.5273,19.88,20.49,21.11,19.8,2023-01-13 05:00:00,53997,894,gme
9,5407905,21.3936,20.49,21.8,21.94,20.37,2023-01-17 05:00:00,48517,894,gme
10,5632161,21.1799,22.01,20.79,22.15,20.5,2023-01-18 05:00:00,59511,894,gme
11,4519163,19.2604,20.44,19.04,20.45,18.82,2023-01-19 05:00:00,53643,894,gme
12,3564322,19.587,19.05,19.61,20.0699,18.9,2023-01-20 05:00:00,39645,894,gme
13,7181508,21.5329,19.5,21.66,22.49,19.37,2023-01-23 05:00:00,63619,894,gme
14,2381588,21.5148,21.3,21.4,22.09,21.0,2023-01-24 05:00:00,29939,894,gme
15,3515791,20.1983,20.59,20.23,20.84,19.53,2023-01-25 05:00:00,38538,894,gme
16,3519973,20.0279,20.61,20.01,21.1685,19.38,2023-01-26 05:00:00,38272,894,gme
17,11897247,21.9996,19.8,22.82,23.31,19.41,2023-01-27 05:00:00,108222,894,gme
18,4950563,22.1807,22.5,21.25,23.48,21.13,2023-01-30 05:00:00,53748,894,gme
19,3128376,21.7098,21.41,21.87,22.05,21.3,2023-01-31 05:00:00,29877,894,gme
20,4517191,21.3011,21.49,21.83,22.12,20.55,2023-02-01 05:00:00,49957,894,gme
21,7655658,23.1368,22.44,22.7,24.4,22.22,2023-02-02 05:00:00,77539,894,gme
22,4935949,22.7342,22.01,22.25,23.9261,21.8,2023-02-03 05:00:00,57466,894,gme
23,8708367,23.5707,21.88,23.86,24.88,21.7702,2023-02-06 05:00:00,76655,894,gme
24,9093668,21.3475,23.0,21.22,23.05,20.5,2023-02-07 05:00:00,92734,894,gme
25,2790325,21.0883,21.43,21.1,21.55,20.61,2023-02-08 05:00:00,37429,894,gme
26,4497399,20.4658,21.25,19.67,21.645,19.67,2023-02-09 05:00:00,51434,894,gme
