,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,shares,ticker
0,1304955,322.9421,326.88,323.38,327.34,319.46,2023-01-03 05:00:00,35736,51,lulu
1,1678060,321.9114,326.56,320.98,326.75,317.03,2023-01-04 05:00:00,44697,51,lulu
2,1786957,325.0879,320.87,325.93,328.54,316.5,2023-01-05 05:00:00,42005,51,lulu
3,2298357,330.5406,329.5,329.26,334.2299,326.82,2023-01-06 05:00:00,49326,51,lulu
4,8292854,298.0153,293.2,298.66,304.4099,289.48,2023-01-09 05:00:00,157944,51,lulu
5,3140368,304.2206,299.84,309.48,309.875,298.59,2023-01-10 05:00:00,66840,51,lulu
6,2224366,310.5687,310.76,311.96,312.41,306.9,2023-01-11 05:00:00,45150,51,lulu
7,1587715,312.9891,311.96,314.99,316.85,306.8601,2023-01-12 05:00:00,34482,51,lulu
8,1543152,313.6539,311.17,315.47,315.74,310.25,2023-01-13 05:00:00,32410,51,lulu
9,1491423,321.0395,314.0,323.82,324.19,313.15,2023-01-17 05:00:00,34864,51,lulu
10,1284240,320.4394,324.85,318.07,327.76,317.17,2023-01-18 05:00:00,31187,51,lulu
11,1519737,309.7518,316.01,307.94,316.84,306.7025,2023-01-19 05:00:00,35354,51,lulu
12,1537992,310.7046,307.25,312.8,314.42,304.34,2023-01-20 05:00:00,31541,51,lulu
13,1643381,315.1883,312.5,316.08,319.125,310.0,2023-01-23 05:00:00,36135,51,lulu
14,2693691,308.799,304.45,311.21,311.42,302.11,2023-01-24 05:00:00,55126,51,lulu
15,1425136,308.4242,305.41,309.52,310.85,304.22,2023-01-25 05:00:00,28371,51,lulu
16,1708348,308.9825,313.27,309.59,313.4998,305.77,2023-01-26 05:00:00,39812,51,lulu
17,2077487,308.4944,307.81,310.85,311.69,305.18,2023-01-27 05:00:00,44451,51,lulu
18,1585335,305.7124,308.98,302.59,310.96,302.41,2023-01-30 05:00:00,30956,51,lulu
