,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,shares,ticker
0,20788,1.6414,1.65,1.659,1.705,1.62,2023-01-03 05:00:00,82,10101,luxh
1,17689,1.6717,1.62,1.76,1.7947,1.62,2023-01-04 05:00:00,70,10101,luxh
2,29338,1.691,1.745,1.7,1.8069,1.66,2023-01-05 05:00:00,245,10101,luxh
3,27178,1.6956,1.68,1.71,1.83,1.66,2023-01-06 05:00:00,91,10101,luxh
4,26349,1.6952,1.8,1.757,1.8,1.68,2023-01-09 05:00:00,62,10101,luxh
5,30198,1.6819,1.68,1.7699,1.79,1.67,2023-01-10 05:00:00,72,10101,luxh
6,71743,1.7765,1.77,1.7999,1.88,1.67,2023-01-11 05:00:00,108,10101,luxh
7,35211,1.7342,1.75,1.74,1.86,1.68,2023-01-12 05:00:00,77,10101,luxh
8,16236,1.7026,1.85,1.74,1.85,1.67,2023-01-13 05:00:00,65,10101,luxh
9,64728,1.6801,1.67,1.745,1.7499,1.635,2023-01-17 05:00:00,110,10101,luxh
10,43985,1.6938,1.69,1.7238,1.78,1.67,2023-01-18 05:00:00,193,10101,luxh
11,45265,1.6722,1.67,1.6986,1.7399,1.62,2023-01-19 05:00:00,143,10101,luxh
12,53346,1.6733,1.65,1.65,1.74,1.63,2023-01-20 05:00:00,180,10101,luxh
13,34830,1.6566,1.66,1.74,1.74,1.64,2023-01-23 05:00:00,199,10101,luxh
14,34654,1.6486,1.65,1.72,1.72,1.64,2023-01-24 05:00:00,198,10101,luxh
15,37336,1.6402,1.66,1.64,1.7,1.58,2023-01-25 05:00:00,234,10101,luxh
16,587156,1.5526,1.5901,1.65,1.6899,1.55,2023-01-26 05:00:00,220,10101,luxh
17,43219,1.6941,1.6999,1.71,1.74,1.67,2023-01-27 05:00:00,144,10101,luxh
18,22351,1.6794,1.68,1.68,1.7,1.68,2023-01-30 05:00:00,160,10101,luxh
19,30581,1.7008,1.61,1.72,1.7399,1.6,2023-01-31 05:00:00,97,10101,luxh
20,7844,1.6981,1.6201,1.67,1.72,1.6201,2023-02-01 05:00:00,81,10101,luxh
21,14089,1.6574,1.7108,1.69,1.7108,1.62,2023-02-02 05:00:00,143,10101,luxh
22,32571,1.6513,1.62,1.62,1.6999,1.61,2023-02-03 05:00:00,97,10101,luxh
23,4409,1.6618,1.6826,1.6742,1.6826,1.63,2023-02-06 05:00:00,26,10101,luxh
24,11003,1.6377,1.6599,1.62,1.67,1.62,2023-02-07 05:00:00,63,10101,luxh
25,151902,1.7539,1.6899,1.79,1.84,1.68,2023-02-08 05:00:00,361,10101,luxh
26,75418,1.8344,1.8269,1.8,1.88,1.78,2023-02-09 05:00:00,202,10101,luxh
27,103818,1.817,1.8271,1.85,1.88,1.77,2023-02-10 05:00:00,317,10101,luxh
28,629801,2.255,1.9,2.47,2.5,1.9,2023-02-13 05:00:00,2072,10101,luxh
29,145342,2.4616,2.46,2.55,2.56,2.3456,2023-02-14 05:00:00,641,10101,luxh
30,155307,2.5935,2.56,2.65,2.7465,2.38,2023-02-15 05:00:00,552,10101,luxh
31,58424,2.6846,2.63,2.75,2.78,2.44,2023-02-16 05:00:00,430,10101,luxh
32,125283,2.5288,2.75,2.45,2.75,2.45,2023-02-17 05:00:00,541,10101,luxh
33,93522,2.4288,2.39,2.48,2.5699,2.39,2023-02-21 05:00:00,353,10101,luxh
34,19329,2.5571,2.56,2.55,2.62,2.47,2023-02-22 05:00:00,194,10101,luxh
35,18728,2.5506,2.555,2.53,2.59,2.51,2023-02-23 05:00:00,140,10101,luxh
36,9187,2.5056,2.52,2.55,2.6,2.47,2023-02-24 05:00:00,54,10101,luxh
37,13338,2.4849,2.5,2.4999,2.54,2.45,2023-02-27 05:00:00,86,10101,luxh
38,6668,2.4966,2.53,2.495,2.53,2.46,2023-02-28 05:00:00,103,10101,luxh
39,23647,2.5372,2.4893,2.58,2.59,2.4893,2023-03-01 05:00:00,143,10101,luxh
40,32469,2.5045,2.44,2.52,2.575,2.44,2023-03-02 05:00:00,156,10101,luxh
